jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-0.067968956,0.106090626,-0.002726883,-0.05003292,-0.087950483,-0.048061487,-0.026257089,0.098073229,0.002203927,0.15752154,-0.014406554,-0.075847265
-0.056245907,0.094037289,0.008052054,-0.048078527,-0.083366636,-0.056431557,-0.019344717,0.082753239,0.020274482,0.146126557,-0.001287884,-0.075525874
-0.010191405,0.101435876,0.013675968,-0.051127199,-0.086194139,-0.053577238,-0.01708282,0.083802717,0.028038247,0.145732997,-0.00028624,-0.073734375
-0.011820013,0.103683286,-0.006406662,-0.044945796,-0.088142968,-0.045226668,-0.014002389,0.071159505,0.034308944,0.155219728,-0.004357392,-0.063511702
-0.012124892,0.181206772,-0.030213856,-0.019745402,-0.066632609,-0.043347396,-0.01412207,0.064860069,0.040511076,0.165412119,0.030072452,-0.067056985
0.002305664,0.173420252,-0.025228278,-0.016551087,-0.058141888,-0.034392322,-0.010007944,0.062097639,0.040233369,0.151806522,0.0332815,-0.05947442
-0.007413509,0.188815705,-0.0528341,-0.011717757,-0.061578826,-0.032893155,-0.005038493,0.069145271,0.041763407,0.148880173,0.003236279,-0.041273011
0.008682573,0.194794024,-0.04597553,-0.011826186,-0.096212247,-0.020614257,0.000356209,0.092111467,0.030599536,0.122721503,0.011387809,-0.030811978
0.016104694,0.168427269,-0.021366538,-0.011169897,-0.108287344,-0.015308492,-0.010545297,0.094091933,0.045626423,0.133321391,0.043177025,-0.031275234
0.007588773,0.167853481,-0.028810632,-0.021671422,-0.113256696,-0.023808875,-0.013710134,0.089659049,0.056078862,0.110258371,0.044020535,-0.069285679
0.007072895,0.18215694,0.02112785,-0.076732047,-0.117591007,-0.018436938,-0.006600224,0.108739777,0.047620215,0.134550262,0.017669213,-0.059855105
-0.001761138,0.182577055,0.042603695,-0.103073986,-0.116836069,-0.049749113,-0.002979369,0.112901394,0.023649029,0.148497873,-0.014025364,-0.080747161
0.019170981,0.163147177,0.038682202,-0.097115269,-0.135349518,-0.039484073,-0.006036295,0.119031651,0.010071238,0.131356304,0.027868205,-0.075305863
0.011449026,0.186070406,-0.008513253,-0.062758251,-0.175200145,-0.025533936,-0.007848283,0.100551414,0.015333077,0.14994394,0.041724539,-0.075219002
0.018102436,0.218435941,-0.075313869,-0.041270124,-0.178440132,-0.021684214,-0.008627802,0.100962788,-0.00382196,0.135245538,0.01352609,-0.071283392
0.010744281,0.219792255,-0.061491593,-0.050872726,-0.184877178,-0.028513519,-0.009201778,0.071445238,-0.02623578,0.122663367,-0.015887296,-0.053363133
0.00403336,0.18277364,-0.019543172,-0.051779076,-0.171437002,-0.035208235,-0.01014656,0.042732342,-0.014944512,0.109824683,-0.018387906,-0.033788372
0.013078621,0.193154582,-0.002441751,-0.056685636,-0.158189432,-0.047153107,-0.010974107,0.02677975,0.010022334,0.11286871,0.007362576,-0.055427228
-0.002970451,0.206925994,0.033120624,-0.031538278,-0.162555865,-0.049070343,-0.014503541,0.02863564,0.013632519,0.091439688,-0.002989141,-0.020438494
0.001478639,0.188526136,0.054840824,-0.022857144,-0.141764785,-0.057502471,-0.015381382,0.023249539,0.017602048,0.106400091,0.003610917,-0.026724012
0.006100558,0.22364372,0.030094443,-0.029069445,-0.138978586,-0.053207005,-0.01568042,0.02845081,0.021089465,0.112167237,-0.02261571,-0.027948833
