intercept,village_dist,tourism_dist,river_dist,woodycover,nitrogen_dist,runoff,fire_freq,slope,sodium_dist,water_dist
1,31325.98438,0.30619859,758.1004459,0.536104535,30979.80713,11.67209,6.55,0.015653098,29694.8173,2118.033936
1,31723.39545,0.31320425,688.0791965,1.46567368,31876.69043,11.75569,4.526315789,0.022850648,30688.07711,2828.427246
1,32059.27539,0.32277235,1156.361225,2.395242824,32937.87148,11.29873,4.052631579,0.027202608,31670.8282,1414.213623
1,32220.59662,0.33843564,817.4844093,1.769079892,33707.38086,11.50058,5.842105263,0.013001977,32687.10119,2236.067871
1,32549.85278,0.3376471,180.4737874,2.060105769,34504.3776,13.34633,5,0.014836969,33443.82982,2828.427246
1,32254.24109,0.37169206,576.7607384,1.978444918,34902.54199,12.80708,5.388888889,0.014836969,34073.96625,3605.55127
1,32066.26526,0.42194081,784.9183829,2.253125747,35645.28613,11.68651,5.545454545,0.013610589,34660.20313,4242.640625
1,32523.75208,0.48445621,1486.311234,1.278020317,36473.96328,12.078525,5.4,0.007503606,34638.84297,4736.067871
1,32689.67725,0.59563841,2021.008078,0.63715037,37328.71289,12.49601,6.526315789,0.005819084,34880.89307,6324.555176
1,33026.25195,0.82261495,1605.392929,0.474669191,38464.29427,12.876565,7.45,0.005483809,35088.85734,6077.753418
1,33564.67215,0.76406409,1353.031975,0.634476586,39180.97852,13.25712,6.055555556,0.011097985,35198.09016,5830.95166
1,34249.99449,0.6999373,978.1696418,0.534682229,40151.27832,12.74792,5.45,0.007580953,35090.98188,6324.555176
1,34641.65602,0.56963775,1164.176128,0.645721238,41189.80469,12.00788,7.2,0.006322585,35298.70859,7280.109863
1,35522.26855,0.42194394,1327.783296,0.862294378,42227.80371,13.69929,6.6,0.008408278,35134.14813,7071.067871
1,36301.4846,0.38372626,1682.104639,1.062553135,43222.90755,12.04484,6.578947368,0.009125451,35046.81063,7810.249512
1,36990.5388,0.30175079,1465.262146,0.874963936,43511.82324,12.298975,6.75,0.006699673,34993.60628,7636.680176
1,37755.79449,0.32893326,1348.817326,0.762931774,42545.26953,12.47279,8.722222222,0.007101756,35116.64994,7615.772949
1,38471.11328,0.29572177,1543.838433,1.401363659,41523.33691,11.56304,8.157894737,0.013361621,35391.46328,8544.003906
1,39113.92358,0.27289178,1302.920292,1.553784337,40504.32031,11.37198,6.888888889,0.018073914,35369.12281,8558.821289
1,39904.32284,0.28888448,569.2331107,2.46283213,39599.67839,11.12898,5.3,0.019565318,35558.78,9055.384766
1,40507.5542,0.27826316,763.6378682,2.231971621,38809.63281,11.53907,6.736842105,0.018155246,35961.12354,10024.93799
1,40574.77222,0.29531019,1245.018066,1.956314923,37796.82656,12.08309,9.166666667,0.02655464,36260.39123,12000
1,40481.04427,0.36478695,871.1022441,1.797535666,36785.69629,10.95721,6.263157895,0.021045669,36532.10757,11180.33984
1,37785.37305,0.69270948,1631.952721,0.318803126,9176.935547,14.02615,0.947368421,0.007006743,4122.149043,11661.90332
1,38744.80005,0.64034866,1171.022182,0.13280681,9254.334229,12.8806,2.210526316,0.007006743,3737.328562,12206.55566
1,39708.76797,0.54571577,319.9798241,0.260967169,8952.321777,16.91832,2.578947368,0.005899515,3480.443672,12806.24805
1,40687.36052,0.58145641,68.97208786,0.777298415,9071.556966,15.05692,0.631578947,0.00472828,3871.441538,12727.92188
1,41559.71387,0.52329556,591.1300621,0.507770179,9417.40625,12.89452,0.052631579,0.006251353,4453.028775,13453.62402
1,42591.01094,0.47032761,1024.910189,0.105747635,9373.673177,13.149455,0.842105263,0.007360911,5037.938721,13444.32642
1,43521.47036,0.51132954,1182.889774,0.12162089,9837.497396,12.9162,1.25,0.006776759,5784.661563,13453.62402
1,44567.13428,0.46047705,1414.786829,0.101198068,10250,13.17249,2,0.007540984,6651.845755,14212.66992
1,45520.51563,0.4155131,1700,0.059393719,10755.81396,11.82302,2.75,0.008778483,7463.594869,14212.66992
1,46409.42798,0.42827068,1624.363037,0.087627988,11321.99316,11.82302,3.7,0.006452186,8395.377848,14212.66992
1,47464.46924,0.41269959,1373.0811,0.182616648,11925.03296,12.24392,2.888888889,0.006452186,9326.544096,14142.13574
1,48457.65579,0.42480605,1635.534661,0.159202545,12495.48169,11.94431,3.263157895,0.008346225,10226.13465,13453.62402
1,49455.97716,0.31411308,2360.952091,-0.043021059,13292.3855,12.20954,3.272727273,0.011803976,11285.75477,14212.66992
1,50358.43099,0.35328937,3078.731613,-0.08506786,14022.39779,11.35989,3.684210526,0.01146403,12245.55673,13601.4707
1,51335.36806,0.41681035,3144.463656,-0.09485576,14716.01929,11.48457,3.263157895,0.010280346,13111.97488,13038.40527
1,52389.71198,0.34048013,2587.470551,-0.002274278,15497.98413,11.48776,2.526315789,0.001957087,14082.52008,12529.96387
1,53366.76587,0.35520728,2389.982536,0.115263177,16138.45488,11.9516,2.526315789,0.008695779,15048.42805,13928.38867
1,54366.4646,0.34683439,2421.456292,-0.088948531,16802.35376,11.38599,3.05,0.010423249,16037.82906,13601.4707
1,55392.8064,0.3378346,2375.361954,0.196456583,17345.86198,12.85174,2.9,0.010473828,16995.26807,13647.54102
1,56303.44971,0.33055827,2099.17854,0.272755009,18060.66211,12.28935,2.944444444,0.010845748,17952.03906,14142.13574
1,57356.08088,0.34349752,1189.522289,0.187857374,18912.62842,12.08078,2.45,0.011486457,18764.38258,14035.66895
1,58331.22358,0.33499104,333.1784139,0.342595171,19380.10742,12.883555,1.421052632,0.010246897,18960.47867,14517.24121
1,59343.4353,0.30589756,724.2112714,0.464417407,20350.68984,13.18147,2,0.009084221,19123.64719,15000
1,60375.77661,0.3012446,1624.857849,0.583579884,21021.71875,11.61147,1,0.012504914,19056.72206,15033.2959
1,61297.17005,0.27911876,2482.342931,0.682776094,21826.54531,11.73168,1.684210526,0.010695871,18986.40054,16124.51563
1,62287.65381,0.29429278,1948.806854,0.537912805,22365.54297,12.41323,2.047619048,0.007228101,18913.6271,16278.82031
1,62642.67578,0.28998595,1151.442501,0.911609103,23166.5166,12.91569,1.947368421,0.007877089,19067.10832,16492.42188
1,63135.21641,0.26327622,210.6048241,0.736182156,24188.84102,14.32196,2.578947368,0.00472603,19682.22414,17720.04492
1,63227.22214,0.25760132,614.3324203,1.055365464,25182.73828,13.734155,1.631578947,0.007701682,20105.13445,18524.89209
1,63352.66138,0.26998421,1497.989563,0.562040567,25690.41357,14.3889,2.526315789,0.007701682,20524.11813,19313.20703
1,63380.75439,0.26666852,2312.964813,0.727730798,25031.98125,13.861725,1.947368421,0.006919755,20978.595,19968.72656
1,63521.6096,0.27954708,3041.945758,0.340419124,24156.10026,13.17166,1.5,0.00957115,21417.57469,20615.52734
1,63581.53735,0.26098466,2585.710831,-0.098148411,23164.10547,12.42383,1.263157895,0.00567163,21896.05547,21023.79688
1,63308.09741,0.2594719,1826.340393,0.273202861,22228.37305,12.8256,2,0.006434126,22469.90263,22360.67969
1,62420.45679,0.25819937,1288.913296,0.336112678,21311.7207,14.36473,3.210526316,0.004830439,23025.04655,23711.08594
1,61412.9397,0.25746966,1500.656189,0.342365915,20344.21533,13.16115,1.894736842,0.006327644,23625.78,25059.92773
1,60368.73177,0.24118854,2093.294661,0.374530946,19443.86377,13.75249,2.105263158,0.005395896,24220.77401,25553.86523
1,59507.19409,0.25821261,2870.72905,0.32316268,18366.05518,14.94802,1.947368421,0.004574991,24690.58211,25815.33789
1,58507.32604,0.2433987,3787.214958,0.414719947,17282.57861,15.006605,2.2,0.005181427,25356.05375,26639.87598
1,57576.15842,0.29504213,4620.404755,0.317836347,16292.8571,13.5707,2.315789474,0.004816002,26026.07805,28017.85156
1,56576.88099,0.25203355,5622.50876,0.268394086,15406.16758,13.5707,2.111111111,0.004432169,26624.63406,28017.85156
1,55576.05811,0.27847093,6598.378693,0.106727061,14444.31177,13.53012,0.05,0.004216357,27340.52836,28600.69922
1,54640.71558,0.29272932,7609.676819,0.099108956,13534.67822,13.30916,0.2,0.003492681,27654.36163,30000
1,53611.10662,0.33962944,8535.104722,0.201816378,12596.53203,14.09987,0.666666667,0.00375868,27938.80127,30610.45508
1,52677.06616,0.36826889,9428.651978,0.407462609,11635.93921,10.37736,2.263157895,0.004989867,28348.43009,32015.62109
1,51666.82054,0.62580223,9362.590576,0.398723353,10751.97168,9.973495,2.315789474,0.017925246,28785.9993,32649.65625
