V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
2,2,7.5,3,2.5,2,2,3.5,2.5,3,2.5,5
9,9,8.5,9.5,8.5,6.5,5.5,9,7.5,7,6.5,7
9,9,6.5,9.5,8,6.5,5.5,18.5,17.5,16,14.5,12
10.5,10.5,8,9.5,9.5,7,6,11,10.5,10,10,6
10.5,10.5,7,11.5,10.5,8.5,6.5,7,6,5,5,5
2,2,11,2.5,1.5,1.5,1.5,7,6.5,6,5.5,10
1,1,1.5,1,1,1,1,1.5,1.5,2,2,2
1,1,2,1,1,1,1,2.5,2,2,2,2
1,1,1.5,1,1,1,1,2.5,2,2,2,2
1,1,2,1.5,1,1,1,2.5,2,2.5,2,2.5
1.5,1.5,1.5,1.5,1.5,1,1,4,3.5,3.5,3,3.5
2,2,2,2,1,1,1,4,3.5,3,3,3.5
1.5,1.5,2,1.5,1.5,1.5,1.5,3.5,3,2.5,2.5,3.5
1.5,1.5,2.5,2,2,2,1.5,3.5,3,3,3.5,4.5
2,2,2.5,1.5,1.5,1.5,1.5,3,2.5,2,2,3
2,2,3,1.5,1.5,1.5,1.5,6.5,5,4.5,5,5
2,2,3,2.5,1.5,1.5,1.5,3.5,2.5,2.5,3.5,4.5
6.5,6.5,8,6.5,5.5,4,3,3.5,3,2.5,2,3
2,2,3.5,2,2,2,2,3.5,3,3.5,3,4
8,8,9.5,8.5,6.5,5.5,4.5,3.5,3,2.5,2,3
5,5,6,6,5,4,3,10,8.5,7,6.5,7.5
12,12,13,12,10.5,9.5,7,8,6.5,5.5,5,7.5
6,6,7.5,7,6,5,4,5.5,4.5,4,3.5,4.5
10.5,10.5,11.5,10.5,9.5,7,6,6,5,4,3.5,4
8,8,8.5,8,6.5,4.5,3.5,5.5,4.5,4,3.5,4
6.5,6.5,7,6.5,5,4,3,9.5,8,7,6,7.5
12,12,13.5,11.5,9,7.5,6.5,7,6,6,5,6
7,7,8,8,6.5,5,4,15.5,13.5,13,11.5,11
13.5,13.5,15.5,14.5,12,9,7.5,5.5,4.5,4.5,4,5
8.5,8.5,9.5,9,7,5,3.5,8.5,7,6.5,4.5,6
6.5,6.5,7.5,7,5,3,2,4,3,3.5,3,4.5
15.5,15.5,17,16,13.5,11.5,9.5,10.5,9,8,7.5,8.5
11,11,12,11,10.5,9,8,6,4.5,4,3,4
12,12,14,12.5,10,8.5,7.5,8,7,8,6.5,6.5
11,11,12,11.5,9.5,8.5,7,14.5,12.5,12,10.5,11
12,12,13,13.5,11,9,7,5,4,3,2.5,3.5
4,4,5,4.5,3,2.5,2,6.5,5,4.5,3.5,4.5
7,7,8,7,6,4.5,3.5,6,5.5,4.5,4,4.5
16,16,18,17,14.5,12.5,10,5,4,3,2.5,3.5
9,9,10,8,6.5,5.5,4.5,4.5,3.5,4.5,4,4.5
8,8,9.5,9,7,5,3.5,4.5,3.5,3.5,3,3.5
7,7,8,8,7,6,4.5,5.5,5,4.5,4,5
9.5,9.5,10,9.5,7.5,6.5,6,4,3,3.5,2.5,3.5
11,11,12,11,10,8,7,8.5,7,6,4.5,5.5
12,12,13.5,12,10.5,8.5,7,4.5,3.5,4,3.5,4.5
8.5,8.5,10,9,7,5,4,9,7.5,7.5,6,7
