"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","posteriors.signs"
"betas[2]",0.0384727859653124,0.00190871891501805,0.0613601148239097,-0.0822913333710265,-0.00359887615261338,0.038014416885052,0.0820670751212904,0.157722335997081,1033.44738980478,0.999780456440792,0.967333333333333
"betas[3]",0.0568377937614397,0.00170487016631586,0.0576347181342727,-0.0538583362411278,0.0176202504260296,0.0573459768554546,0.0957201554073795,0.163971043712111,1142.8407696247,1.00247759213557,0.868666666666667
"betas[4]",0.0298304209316341,0.00174187296997883,0.060648877040111,-0.085137935352828,-0.0118915414221332,0.0287573686855403,0.0722978505551048,0.143781100724363,1212.30687520914,0.999435664647977,0.829333333333333
"betas[5]",-0.272874948562796,0.00151792647473812,0.0616655861187885,-0.393899029082244,-0.315064476044211,-0.273111963820335,-0.230208275181938,-0.156926925755793,1650.38115515925,1.00068178920332,0.984666666666667
"betas[6]",-0.0577535190658092,0.00898545863414408,0.231616905636192,-0.507745370122175,-0.217396056777359,-0.0569470784911688,0.100335600243602,0.401796251938116,664.446490736288,1.00069306252758,0.982666666666667
"betas[7]",0.252673189486006,0.0147698668357245,0.517657126778734,-0.734839261808794,-0.100972119173416,0.252350515483234,0.611134196261066,1.27348527311953,1228.37575347932,1.00317378575438,0.798
"betas[8]",0.165084917315804,0.00180950235571879,0.0638515213515775,0.0420171278996084,0.122559807899569,0.166704024046207,0.208798431796369,0.288218722025974,1245.15722560256,1.00308489991096,0.996
"betas[9]",0.0436268177055449,0.00115410514736598,0.0473039299461152,-0.0524715030608664,0.0136648572714864,0.0442271900457344,0.0760840764977338,0.133966530346824,1679.97836807554,1.00118238681532,1
"betas[10]",-0.147125496076357,0.00901314944845427,0.236270008550506,-0.611751016939586,-0.297335036959055,-0.157342339394497,0.0136842425652954,0.307412157254699,687.169776042209,0.999986254696331,0.908666666666667
"betas[11]",-0.115135901850836,0.00831694848350726,0.245782245353162,-0.590507818841619,-0.277830290597629,-0.121660888819632,0.0574710797939088,0.364290759939522,873.31916736217,0.999409476235426,0.999333333333333
"betas[12]",0.174729812507519,0.0107575386116547,0.280288722973198,-0.370775633491946,-0.0223498221151357,0.176423084968178,0.372836483168762,0.719427197191312,678.868132795961,0.999124319733962,0.999333333333333
"betas[13]",-0.309100252953585,0.0149580047808241,0.524396422033559,-1.33498981628727,-0.666547105829672,-0.296214754376133,0.0421269585166129,0.69940741728894,1229.05722535536,1.00350040360937,0.774666666666667
"betas[14]",-0.0149558254397383,0.00640372330985339,0.16619415627274,-0.342118401060411,-0.129362722228262,-0.0139781547546679,0.0978193103665418,0.304174497108493,673.54463391286,1.00069429843575,0.66
"betas[15]",0.237316343590543,0.0073746918558359,0.195489186442183,-0.14088724965812,0.108211994228021,0.243971335000613,0.367099132952046,0.613781076999074,702.680208574297,1.00034753699039,0.741333333333333
"betas[16]",0.234671956413116,0.00135721884716164,0.0469885424685942,0.143179132059174,0.203686320597585,0.235157241287759,0.265193505504332,0.325810307068678,1198.62735257141,0.999548227265528,0.802
"betas[17]",-0.0525137976731534,0.000801685592973271,0.0313813759222728,-0.114434691882345,-0.0737370491609047,-0.0522714856936364,-0.0306878588452645,0.0110062362955547,1532.271785563,0.998908809173915,1
"betas[1]",-0.622744578956452,0.00188253400397694,0.0565617692930476,-0.732177776501012,-0.658424327104411,-0.623238038157695,-0.584610547218119,-0.511322674831633,902.735066817898,1.00025913149628,1
"betas[2]",-0.0795103854035065,0.00168005943920969,0.0496178170456827,-0.174254175557485,-0.113740127564344,-0.0801806545074225,-0.0469051128815037,0.0243058501105361,872.219943750635,1.0013450754261,0.967333333333333
"betas[3]",0.0696869179052135,0.00141326916077064,0.0505167415974722,-0.0328303386626195,0.036227741293389,0.0714691587497105,0.105845064232247,0.162348870636566,1277.67646726968,0.998486481773481,0.868666666666667
"betas[4]",0.0912949489879957,0.00190215609245037,0.0428050449245471,0.0105072045955665,0.0615968199906944,0.0917654516966639,0.120157674167593,0.174938521200641,506.404561676855,1.00510924912541,0.829333333333333
"betas[5]",-0.611991248960896,0.00196756157628013,0.0706668358288987,-0.753628755736071,-0.658604091342748,-0.609450563201698,-0.565956436732208,-0.478809183543344,1289.95519545845,0.999411203518854,0.984666666666667
"betas[6]",0.660956932568612,0.00932957833169908,0.189041536471712,0.297371427721528,0.533663416998222,0.658255727170934,0.78691634856341,1.03972021796863,410.573056788622,1.0049006536913,0.982666666666667
"betas[7]",0.0428361972655905,0.0136143877379949,0.371337265642118,-0.677738115646194,-0.196878196944268,0.0280602875399268,0.287610282991008,0.790929173748623,743.945018346437,1.00205470492588,0.798
